date,symbol,dividend,split
2013-02-01,TORNTPHARM,1.5,0.0
2013-06-10,TORNTPHARM,4.25,0.0
2013-07-23,TORNTPHARM,0.0,2.0
2014-01-24,TORNTPHARM,2.5,0.0
2014-06-16,TORNTPHARM,2.5,0.0
2015-02-02,TORNTPHARM,2.5,0.0
2015-06-15,TORNTPHARM,3.125,0.0
2016-02-11,TORNTPHARM,10.0,0.0
2016-03-16,TORNTPHARM,7.5,0.0
2017-02-10,TORNTPHARM,5.0,0.0
2017-06-19,TORNTPHARM,2.0,0.0
2018-02-15,TORNTPHARM,4.5,0.0
2018-06-18,TORNTPHARM,2.5,0.0
2019-02-06,TORNTPHARM,6.5,0.0
2019-06-13,TORNTPHARM,2.0,0.0
2020-03-18,TORNTPHARM,16.0,0.0
2021-02-15,TORNTPHARM,10.0,0.0
2021-06-17,TORNTPHARM,7.5,0.0
2022-02-02,TORNTPHARM,12.5,0.0
2022-06-03,TORNTPHARM,11.5,0.0
2022-07-08,TORNTPHARM,0.0,2.0
2023-02-03,TORNTPHARM,14.0,0.0
2023-06-23,TORNTPHARM,8.0,0.0
2024-02-12,TORNTPHARM,22.0,0.0
2024-06-21,TORNTPHARM,6.0,0.0
2025-01-31,TORNTPHARM,26.0,0.0
2025-06-20,TORNTPHARM,6.0,0.0
2026-02-18,TORNTPHARM,29.0,0.0
2026-05-29,TORNTPHARM,9.0,0.0
2002-09-12,GLENMARK,0.6,0.0
2003-06-10,GLENMARK,0.65,0.0
2003-10-23,GLENMARK,0.0,5.0
2004-03-31,GLENMARK,0.65,0.0
2005-04-29,GLENMARK,0.35,0.0
2006-02-07,GLENMARK,0.35,0.0
2007-01-04,GLENMARK,0.4,0.0
2007-09-10,GLENMARK,0.0,2.0
2007-11-07,GLENMARK,0.7,0.0
2009-09-10,GLENMARK,0.4,0.0
2010-09-16,GLENMARK,0.4,0.0
2011-07-28,GLENMARK,0.4,0.0
2012-07-19,GLENMARK,2.0,0.0
2013-07-18,GLENMARK,2.0,0.0
2014-07-10,GLENMARK,2.0,0.0
2015-09-10,GLENMARK,2.0,0.0
2016-08-03,GLENMARK,2.0,0.0
2017-09-20,GLENMARK,2.0,0.0
2018-09-19,GLENMARK,2.0,0.0
2019-09-19,GLENMARK,2.0,0.0
2020-09-17,GLENMARK,2.5,0.0
2021-09-08,GLENMARK,2.5,0.0
2022-09-12,GLENMARK,2.5,0.0
2023-09-18,GLENMARK,2.5,0.0
2024-09-13,GLENMARK,2.5,0.0
2025-09-15,GLENMARK,2.5,0.0
2025-10-03,GLENMARK,2.5,0.0
2007-09-07,PFC,0.4,0.0
2008-02-11,PFC,1.0,0.0
2008-07-14,PFC,0.4,0.0
2009-02-24,PFC,1.06,0.0
2009-09-07,PFC,0.54,0.0
2010-02-03,PFC,1.2,0.0
2010-09-03,PFC,0.6,0.0
2011-01-21,PFC,1.4,0.0
2011-09-12,PFC,0.6,0.0
2012-02-08,PFC,2.0,0.0
2012-09-05,PFC,0.4,0.0
2013-02-04,PFC,2.4,0.0
2013-09-10,PFC,0.4,0.0
2014-02-07,PFC,3.52,0.0
2014-09-10,PFC,0.08,0.0
