date,dd
2015-10-27,-0.18300115213532986
2015-10-28,-0.18287267001653962
2015-10-29,-0.18637958383428954
2015-10-30,-0.1937259216500804
2015-11-02,-0.19691095186726226
2015-11-03,-0.19273767609512493
2015-11-04,-0.19400902456967073
2015-11-05,-0.20746829323798555
2015-11-06,-0.2138168593737957
2015-11-09,-0.2063356732967484
2015-11-10,-0.2148568207899938
2015-11-11,-0.20193314894318604
2015-11-13,-0.20719748204220678
2015-11-16,-0.20039992447296173
2015-11-17,-0.19606241546846892
2015-11-18,-0.2019263045078611
2015-11-19,-0.19272754833298322
2015-11-20,-0.1859141853736067
2015-11-23,-0.18221638762886383
2015-11-24,-0.17458814101338183
2015-11-26,-0.1683818426913859
2015-11-27,-0.16653184334444449
2015-11-30,-0.16085458931037577
2015-12-01,-0.15493933861552833
2015-12-02,-0.15357985659118467
2015-12-03,-0.15711126605283854
2015-12-04,-0.16362461502994552
2015-12-07,-0.16171693584063018
2015-12-08,-0.17784454260758764
2015-12-09,-0.20024786491993285
2015-12-10,-0.18816585519853668
2015-12-11,-0.1955668847307327
2015-12-14,-0.19068094065520214
2015-12-15,-0.18338548736326266
2015-12-16,-0.1810793154589111
2015-12-17,-0.16663268287838373
2015-12-18,-0.16823024664424913
2015-12-21,-0.15920223141513734
2015-12-22,-0.15811350828916237
2015-12-23,-0.15496244075932308
2015-12-24,-0.149659893701933
2015-12-28,-0.14550196398204707
2015-12-29,-0.14707641338313704
2015-12-30,-0.14607607331137085
2015-12-31,-0.142061507289451
2016-01-01,-0.13237923822828312
2016-01-04,-0.14171159600870997
2016-01-05,-0.13263272677661508
2016-01-06,-0.13553784154674586
2016-01-07,-0.16539711065405227
2016-01-08,-0.15141935585177446
2016-01-11,-0.15483238299218682
2016-01-12,-0.1636685997061602
2016-01-13,-0.18265380011980292
2016-01-14,-0.19524966958340928
2016-01-15,-0.22535954887204035
2016-01-18,-0.26174836604359264
2016-01-19,-0.26174836604359264
2016-01-20,-0.26174836604359264
2016-01-21,-0.26174836604359264
2016-01-22,-0.26174836604359264
2016-01-25,-0.26174836604359264
2016-01-27,-0.26174836604359264
2016-01-28,-0.26174836604359264
2016-01-29,-0.26174836604359264
2016-02-01,-0.26174836604359264
2016-02-02,-0.26174836604359264
2016-02-03,-0.26174836604359264
2016-02-04,-0.26174836604359264
2016-02-05,-0.26174836604359264
2016-02-08,-0.26174836604359264
2016-02-09,-0.26174836604359264
2016-02-10,-0.26174836604359264
2016-02-11,-0.26174836604359264
2016-02-12,-0.26174836604359264
2016-02-15,-0.26174836604359264
2016-02-16,-0.26174836604359264
2016-02-17,-0.26174836604359264
2016-02-18,-0.26174836604359264
2016-02-19,-0.26174836604359264
2016-02-22,-0.26174836604359264
2016-02-23,-0.26174836604359264
2016-02-24,-0.26174836604359264
2016-02-25,-0.26174836604359264
2016-02-26,-0.26174836604359264
2016-02-29,-0.26174836604359264
2016-03-01,-0.26174836604359264
2016-03-02,-0.26174836604359264
2016-03-03,-0.26174836604359264
2016-03-04,-0.26174836604359264
2016-03-08,-0.26174836604359264
2016-03-09,-0.26174836604359264
2016-03-10,-0.26174836604359264
2016-03-11,-0.26174836604359264
2016-03-14,-0.26174836604359264
2016-03-15,-0.26174836604359264
2016-03-16,-0.26174836604359264
2016-03-17,-0.26174836604359264
2016-03-18,-0.26174836604359264
2016-03-21,-0.26174836604359264
2016-03-22,-0.26174836604359264
2016-03-23,-0.26174836604359264
2016-03-28,-0.26174836604359264
2016-03-29,-0.26174836604359264
2016-03-30,-0.26174836604359264
2016-03-31,-0.26174836604359264
2016-04-01,-0.26174836604359264
2016-04-04,-0.26174836604359264
2016-04-05,-0.2628557434945272
2016-04-06,-0.25407565536244536
2016-04-07,-0.2551945418794017
2016-04-08,-0.2497630855989177
2016-04-11,-0.24286202942713087
2016-04-12,-0.23565328197039737
2016-04-13,-0.22824050671515772
2016-04-18,-0.21954166651552676
2016-04-20,-0.21423187900019425
2016-04-21,-0.21892074144518014
2016-04-22,-0.21802277846949691
2016-04-25,-0.2201903051525217
2016-04-26,-0.21487999891089105
2016-04-27,-0.21274001888420568
2016-04-28,-0.221613516705088
2016-04-29,-0.2217829185287108
2016-05-02,-0.21730764834957805
2016-05-03,-0.21915731175192577
2016-05-04,-0.22978345019170499
2016-05-05,-0.22891570846756393
2016-05-06,-0.22961056639646182
2016-05-09,-0.22024670149531966
2016-05-10,-0.21880135250380428
2016-05-11,-0.21958577965762827
2016-05-12,-0.2126475880649069
2016-05-13,-0.21617897885900372
2016-05-16,-0.21517830315717246
2016-05-17,-0.21284045693750397
2016-05-18,-0.2104148906266461
2016-05-19,-0.22066796940085687
2016-05-20,-0.22769176677084635
2016-05-23,-0.23130063994689354
2016-05-24,-0.238610893740558
2016-05-25,-0.23063175762619492
2016-05-26,-0.2250796125704042
2016-05-27,-0.21949592561455633
2016-05-30,-0.21755595881642253
2016-05-31,-0.21905922368599773
2016-06-01,-0.21506195791464566
2016-06-02,-0.21270589102546267
2016-06-03,-0.21507284626102352
2016-06-06,-0.21351951413830395
2016-06-07,-0.2063979407242672
2016-06-08,-0.1961705040880135
2016-06-09,-0.1950159969593287
2016-06-10,-0.19478453769942683
2016-06-13,-0.19597847655548584
2016-06-14,-0.18907176926266034
2016-06-15,-0.18221785492167863
2016-06-16,-0.18813014188929922
2016-06-17,-0.1841694833502856
2016-06-20,-0.1795210761965017
2016-06-21,-0.17830180812724572
2016-06-22,-0.18306540613606015
2016-06-23,-0.18428584461063602
2016-06-24,-0.19922628826119737
2016-06-27,-0.18278693523879297
2016-06-28,-0.17438984954736314
2016-06-29,-0.16220655483965496
2016-06-30,-0.1543934476042822
2016-07-01,-0.150013968666028
2016-07-04,-0.1412341395400778
2016-07-05,-0.13887699127064934
2016-07-07,-0.13611210422952347
2016-07-08,-0.1383552663421458
2016-07-11,-0.12986634148420773
2016-07-12,-0.12821052028619717
2016-07-13,-0.1347421920247871
2016-07-14,-0.1285289145736488
2016-07-15,-0.13644186345270082
2016-07-18,-0.14176954154443666
2016-07-19,-0.14199104314017852
2016-07-20,-0.13085276673216517
2016-07-21,-0.1335364832204744
2016-07-22,-0.12674807896253137
2016-07-25,-0.11573478101240742
2016-07-26,-0.12263887461895462
2016-07-27,-0.11754204421233272
2016-07-28,-0.11258397334122972
2016-07-29,-0.11215905536204762
2016-08-01,-0.11364472071170406
2016-08-02,-0.1208514446398542
2016-08-03,-0.1309180544490458
2016-08-04,-0.1265066807786167
2016-08-05,-0.11292317649560601
2016-08-08,-0.11037949368494815
2016-08-09,-0.11405070677038165
2016-08-10,-0.12621958524210874
2016-08-11,-0.12846408809038534
2016-08-12,-0.1283310114186017
2016-08-16,-0.13064515182984626
2016-08-17,-0.1222080362742669
2016-08-18,-0.11258652472936659
2016-08-19,-0.10620711970940866
2016-08-22,-0.10550389663544157
2016-08-23,-0.10507320864495251
2016-08-24,-0.09940336942220862
2016-08-25,-0.10137154669009074
2016-08-26,-0.10528211633151341
2016-08-29,-0.1045505956036602
2016-08-30,-0.09786212402855587
2016-08-31,-0.09646838745536312
2016-09-01,-0.1016380176221433
2016-09-02,-0.09684195746677104
2016-09-06,-0.08639344624769818
2016-09-07,-0.08303762544154825
2016-09-08,-0.07275950342780368
2016-09-09,-0.07584886177618266
2016-09-12,-0.09929344450314481
2016-09-14,-0.08642729263144766
2016-09-15,-0.08437867303843549
2016-09-16,-0.08378273931044888
2016-09-19,-0.07712121782844839
2016-09-20,-0.07768303673636012
2016-09-21,-0.07701086087098385
2016-09-22,-0.0683230969045584
2016-09-23,-0.069322923842006
2016-09-26,-0.07433700070650895
2016-09-27,-0.0731326923287875
2016-09-28,-0.0637693502269856
2016-09-29,-0.10775717154230002
2016-09-30,-0.08799445349445789
2016-10-03,-0.06115893990464427
2016-10-04,-0.055208443770020765
2016-10-05,-0.04606575469578411
2016-10-06,-0.05028264180873343
2016-10-07,-0.04840645250575415
2016-10-10,-0.04457918253807658
2016-10-13,-0.05967581514857678
2016-10-14,-0.05112734532240493
2016-10-17,-0.05555119839085754
2016-10-18,-0.042737868475905993
2016-10-19,-0.03599554149767248
2016-10-20,-0.031330505812687814
2016-10-21,-0.028361956853776626
